scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , ssbo_inlined_instr_10_10  ,     1 ,   764717us ,   772928us ,  718.840us ,        7us ,      111us ,      112us ,    0.600us ,    0.000us ,      220us ,      220us ,    1.440us ,    0.280us ,        8us ,        7us ,   14.120us ,   13.480us ,       28us ,       28us ,  676.120us ,  675.920us ,   764350us ,   772561us ,   26.560us ,   18.040us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,  2503504us ,  2513333us ,  980.560us ,        7us ,      131us ,      131us ,    0.560us ,    0.000us ,     1175us ,     6356us ,    1.400us ,    0.240us ,       11us ,       11us ,   14.280us ,   13.680us ,       32us ,       32us ,  941.000us ,  940.800us ,  2502155us ,  2506803us ,   23.320us ,   18.120us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,   330223us ,   338097us ,  528.000us ,        6us ,       72us ,       72us ,    0.560us ,    0.000us ,       31us ,       32us ,    1.480us ,    0.280us ,        8us ,        8us ,   13.560us ,   13.000us ,       31us ,     1772us ,  484.640us ,  484.440us ,   330081us ,   336213us ,   27.760us ,   18.200us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,   528196us ,   532920us ,  530.040us ,        5us ,       72us ,       72us ,    0.560us ,    0.000us ,       32us ,       31us ,    1.400us ,    0.280us ,        9us ,       10us ,   13.640us ,   13.080us ,       33us ,       33us ,  487.400us ,  487.240us ,   528050us ,   532774us ,   27.040us ,   17.600us
sublime         , ssbo_inlined_instr_4_10   ,     1 ,   742140us ,   747384us ,  548.320us ,        6us ,       81us ,       81us ,    0.600us ,    0.000us ,       30us ,       29us ,    1.360us ,    0.280us ,        9us ,        9us ,   14.280us ,   13.720us ,       31us ,       31us ,  507.120us ,  506.960us ,   741989us ,   747234us ,   24.960us ,   18.600us
sublime         , ssbo_inlined_instr_4_20   ,     1 ,  2613766us ,  2617097us ,  672.680us ,        7us ,       70us ,       71us ,    0.560us ,    0.000us ,       32us ,       31us ,    1.360us ,    0.280us ,        8us ,        9us ,   13.760us ,   13.160us ,       35us ,       34us ,  630.120us ,  629.920us ,  2613621us ,  2616952us ,   26.880us ,   17.640us
sublime         , ssbo_inlined_instr_6_4    ,     1 ,     1628us ,     4950us ,  532.240us ,        7us ,      102us ,      102us ,    0.560us ,    0.000us ,      228us ,      228us ,    1.400us ,    0.280us ,        8us ,        8us ,   14.160us ,   13.560us ,       32us ,       32us ,  488.000us ,  487.800us ,     1258us ,     4580us ,   28.120us ,   18.560us
sublime         , ssbo_inlined_instr_8_4    ,     1 ,     2455us ,     3744us ,  526.320us ,        6us ,       92us ,       92us ,    0.600us ,    0.000us ,      115us ,      115us ,    1.440us ,    0.320us ,        8us ,        8us ,   13.920us ,   13.320us ,       28us ,       28us ,  484.280us ,  484.040us ,     2212us ,     3501us ,   26.080us ,   17.760us
sublime         , ssbo_inlined_instr_10_4   ,     1 ,     5602us ,     7922us ,  526.920us ,        6us ,      103us ,      103us ,    0.560us ,    0.000us ,      211us ,      212us ,    1.400us ,    0.280us ,       10us ,        9us ,   14.480us ,   13.880us ,       26us ,       26us ,  483.720us ,  483.560us ,     5252us ,     7572us ,   26.760us ,   17.960us
sublime         , ssbo_inlined_instr_20_4   ,     1 ,     4289us ,     5625us ,  547.000us ,        5us ,      204us ,      205us ,    0.560us ,    0.000us ,       82us ,       81us ,    1.400us ,    0.280us ,        7us ,        8us ,   13.600us ,   13.040us ,       26us ,       25us ,  505.760us ,  505.600us ,     3970us ,     5306us ,   25.680us ,   18.040us
sublime         , ssbo_instr_combo_4        ,     1 ,     7476us ,     9516us ,  527.560us ,        6us ,       48us ,       49us ,    0.560us ,    0.000us ,       46us ,       45us ,    1.400us ,    0.280us ,        8us ,        8us ,   13.680us ,   13.080us ,       25us ,       25us ,  484.160us ,  484.000us ,     7349us ,     9389us ,   27.760us ,   18.000us
sublime         , ssbo_instr_combo_6        ,     1 ,     4121us ,     9189us ,  603.400us ,        6us ,       50us ,       51us ,    0.560us ,    0.000us ,       62us ,       61us ,    1.400us ,    0.280us ,        8us ,        8us ,   13.360us ,   12.760us ,       27us ,       28us ,  560.840us ,  560.640us ,     3974us ,     9041us ,   27.240us ,   17.520us
sublime         , ssbo_instr_combo_8        ,     1 ,     4647us ,    10953us ,  633.680us ,        5us ,       72us ,       71us ,    0.560us ,    0.000us ,       21us ,       22us ,    1.440us ,    0.280us ,        8us ,        8us ,   13.560us ,   12.920us ,       31us ,       30us ,  591.040us ,  590.840us ,     4515us ,    10822us ,   27.080us ,   17.400us
sublime         , ssbo_instr_combo_10       ,     1 ,     4978us ,    11214us ,  714.640us ,        6us ,       47us ,       47us ,    0.560us ,    0.000us ,       20us ,       20us ,    1.400us ,    0.280us ,       10us ,       10us ,   13.320us ,   12.760us ,       29us ,       30us ,  671.600us ,  671.440us ,     4872us ,    11107us ,   27.760us ,   18.080us
sublime         , ssbo_instr_combo_20       ,     1 ,    14446us ,    22311us ,  975.040us ,        8us ,       57us ,       57us ,    0.560us ,    0.000us ,       24us ,       23us ,    1.480us ,    0.280us ,        8us ,        9us ,   13.600us ,   13.040us ,       34us ,       34us ,  931.640us ,  931.400us ,    14323us ,    22188us ,   27.760us ,   18.000us
sublime         , one_ssbo_ext_no_sdf       ,     1 ,    34682us ,    41283us ,  476.720us ,        5us ,       55us ,       55us ,    0.600us ,    0.000us ,       65us ,       64us ,    1.480us ,    0.240us ,        8us ,        8us ,   14.080us ,   13.480us ,       27us ,       27us ,  433.240us ,  433.080us ,    34527us ,    41129us ,   27.320us ,   17.320us
sublime         , one_ssbo_ext_sdf_list     ,     1 ,    50041us ,    62909us ,  847.880us ,        5us ,       69us ,       70us ,    0.560us ,    0.000us ,       35us ,       34us ,    1.400us ,    0.240us ,        5us ,        5us ,   13.360us ,   12.800us ,       15us ,       16us ,  805.960us ,  805.800us ,    49917us ,    62784us ,   26.600us ,   17.360us
sublime         , one_ssbo_ext_one_sdf      ,     1 ,    37831us ,    48985us ,  706.040us ,        6us ,       78us ,       78us ,    0.560us ,    0.000us ,       36us ,       36us ,    1.480us ,    0.320us ,        9us ,        9us ,   13.680us ,   13.120us ,       30us ,       30us ,  663.440us ,  663.240us ,    37678us ,    48832us ,   26.880us ,   17.280us
sublime         , one_ssbo_ext_one_sdf_pack ,     1 ,    54591us ,    66723us ,  962.680us ,        5us ,       80us ,       80us ,    0.600us ,    0.000us ,       38us ,       38us ,    1.400us ,    0.280us ,        8us ,        8us ,   13.720us ,   13.080us ,       27us ,       27us ,  919.840us ,  919.640us ,    54438us ,    66570us ,   27.120us ,   18.440us
